Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_PageViews,Total_Duration,Avg_Time_Per_Page,Bounce_Exit_Ratio,Engagement_Score,Month_Encoded,VisitorType_Freq
0,-1.0054680759288452,0,-0.4947987296998535,1,-2.168082124275048,0.2,0.2,-0.5328007247722796,0.0,Feb,1,1,1,1,Returning_Visitor,0,0,1,0.0,0.0,0.9950248756218906,0.4,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,2,-1.1151600130538863,0.0,0.1,-0.5328007247722796,0.0,Feb,2,2,1,2,Returning_Visitor,0,0,2,64.0,21.333333333333332,0.0,0.48,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,1,-2.168082124275048,0.2,0.2,-0.5328007247722796,0.0,Feb,4,1,9,3,Returning_Visitor,0,0,1,0.0,0.0,0.9950248756218906,0.4,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,2,-1.9389363389347523,0.05,0.14,-0.5328007247722796,0.0,Feb,3,2,2,4,Returning_Visitor,0,0,2,2.666666667,0.888888889,0.35460992907801414,0.45699999999999996,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,10,0.03928159270954581,0.02,0.05,-0.5328007247722796,0.0,Feb,3,3,1,4,Returning_Visitor,1,0,10,627.5,57.04545454545455,0.39215686274509803,0.484,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,19,-0.7404787871846444,0.015789474,0.024561404,-0.5328007247722796,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,19,154.2166667,7.710833334999999,0.617707618877273,0.490350877,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,1,-2.168082124275048,0.2,0.2,-0.5328007247722796,0.4,Feb,2,4,3,3,Returning_Visitor,0,0,1,0.0,0.0,0.9950248756218906,0.4,0.016574585635359115,0.8546497337156903
1,-1.0054680759288452,0,-0.4947987296998535,0,-2.168082124275048,0.2,0.2,-0.5328007247722796,0.0,Feb,1,2,1,5,Returning_Visitor,1,0,1,0.0,0.0,0.9950248756218906,0.4,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,2,-1.3120838849692897,0.0,0.1,-0.5328007247722796,0.8,Feb,2,2,2,3,Returning_Visitor,0,0,2,37.0,12.333333333333334,0.0,0.48,0.016574585635359115,0.8546497337156903
0,-1.0054680759288452,0,-0.4947987296998535,3,0.14654465531457217,0.0,0.022222222,-0.5328007247722796,0.4,Feb,2,4,1,2,Returning_Visitor,0,0,3,738.0,184.5,0.0,0.4955555556,0.016574585635359115,0.8546497337156903
